LncRNA,Environmental factors,P value (FDR correction)
RP11-923I11.1,Polycyclic aromatic hydrocarbons,0.0291 
RP11-923I11.1,serum starvation and chemotherapeutic drug,0.0291 
RP4-659J6.2,docetaxel,0.0291 
CASP8AP2,radiation,0.0292 
MIR4720,E2?182780,0.0292 
MIR4720,ICI-182780 (Fulvestrant),0.0292 
MIR4720,MPA486,0.0292 
MIR4720,RU486 (Mifepristone),0.0292 
RP13-507I23.1,paclitaxel-carboplatin,0.0292 
HCG11,medroxyprogesterone acetate (MPA),0.0292 
RP11-214C8.5,doxorubicin,0.0292 
RP11-690G19.3,Interleukin (IL)-12,0.0292 
RP11-690G19.3,nicotine,0.0292 
SNHG5,Interleukin (IL)-12,0.0292 
SNHG5,medroxyprogesterone acetate (MPA),0.0292 
SNHG5,swine influenza virus (SIV),0.0292 
RP6-24A23.7,gefitinib,0.0293 
RP1-37E16.12,sulindac sulfide,0.0297 
RP11-216F19.2,lithium,0.0298 
RP13-507I23.1,gemcitabine,0.0299 
RP6-24A23.7,hepatitis B virus (HBV),0.0300 
RP6-24A23.7,methacrylic,0.0300 
RP6-24A23.7,thyrotropin,0.0300 
HNRNPU-AS1,fludarabine,0.0300 
INTS6-AS1,cisplatin (CIS),0.0302 
INTS6-AS1,cocaine,0.0302 
RP11-415J8.7,cisplatin (CIS),0.0302 
RP11-415J8.7,cocaine,0.0302 
RP11-77H9.2,Human T-lymphotropic virus type 1 (HTLV-1),0.0302 
XIST,ionizing radiation,0.0304 
SNHG16,hydroxycamptothecin (HCPT),0.0304 
CTD-3138B18.5,H2O2,0.0304 
SEC22B,anabolic stimulus,0.0304 
AC005532.5,Arsenic,0.0304 
CTC-338M12.2,Arsenic,0.0304 
MIR600HG,curcumin,0.0304 
NOP14-AS1,Arsenic,0.0304 
RP11-169K16.9,cigarette smoke (CS),0.0304 
RP11-169K16.9,UV irradiation,0.0304 
RP11-169K16.9,vincristine and daunorubicin,0.0304 
RP11-174G17.2,Arsenic,0.0304 
RP11-218M22.1,cigarette smoke (CS),0.0304 
RP11-218M22.1,UV irradiation,0.0304 
RP11-244O19.1,cigarette smoke (CS),0.0304 
RP11-244O19.1,UV irradiation,0.0304 
RP11-264L1.3,Arsenic,0.0304 
RP11-383C5.4,cigarette smoke (CS),0.0304 
RP11-383C5.4,UV irradiation,0.0304 
RP11-57H14.4,temozolomide,0.0304 
RP4-614O4.11,cigarette smoke (CS),0.0304 
RP4-614O4.11,UV irradiation,0.0304 
LINC00339,"Arsenic trioxide (As(2)O(3), ATO)",0.0304 
LINC00339,Polycyclic aromatic hydrocarbons,0.0304 
LINC00641,As2O3,0.0304 
LINC00662,3-nitropropionic acid (3-NPA),0.0304 
LINC00662,aminoglycoside,0.0304 
LINC00662,"Arsenic trioxide (As(2)O(3), ATO)",0.0304 
LINC00662,Cyclic mechanical stress (CMS),0.0304 
LINC00662,deoxycholic acid,0.0304 
LINC00662,gamma-irradiation and genotoxic drugs,0.0304 
LINC00662,methotrexate (MTX),0.0304 
LINC00662,pacitaxel,0.0304 
LINC00662,Polycyclic aromatic hydrocarbons,0.0304 
RP11-199F11.2,ionizing radiation,0.0304 
RP11-498E2.8,ionizing radiation,0.0304 
RP11-529K1.2,ionizing radiation,0.0304 
RP11-73M18.8, 5-Aza,0.0304 
RP11-73M18.8,Camptothecin (CPT),0.0304 
RP11-73M18.8,Cyclic mechanical stress (CMS),0.0304 
RP11-73M18.8,gamma-irradiation and genotoxic drugs,0.0304 
RP11-73M18.8,interleukin-6 (IL-6),0.0304 
RP11-73M18.8,methotrexate (MTX),0.0304 
RP4-659J6.2,ionizing radiation,0.0304 
XXbac-B461K10.4,3-nitropropionic acid (3-NPA),0.0304 
XXbac-B461K10.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0304 
XXbac-B461K10.4,deoxycholic acid,0.0304 
XXbac-B461K10.4,pacitaxel,0.0304 
XXbac-B461K10.4,Polycyclic aromatic hydrocarbons,0.0304 
CTD-2116N17.1,17beta-estradiol (E(2)),0.0304 
AC007038.7,5-FU,0.0304 
AC021016.6,hepatitis C virus (HCV),0.0304 
AF011889.4,opioids (morphine and heroin),0.0304 
CTD-3185P2.2,Paclitaxel (Taxol),0.0304 
KIAA1984-AS1,glucose,0.0304 
RP11-132A1.3,Paclitaxel (Taxol),0.0304 
RP11-159D12.2,glucose,0.0304 
RP11-173C20.2,hepatitis C virus (HCV),0.0304 
RP11-18I14.10,5-aza-2'-deoxycytidine (5-Aza-dC) and trichostatin A (TSA),0.0304 
RP11-425I13.3,hepatitis C virus (HCV),0.0304 
AP000721.4,ionizing radiation,0.0305 
GS1-124K5.11,ionizing radiation,0.0305 
SEMA3B,ionizing radiation,0.0305 
CTD-3185P2.1,adriamycin,0.0307 
ILF3-AS1,heat stress,0.0307 
RP11-64K12.2,drug,0.0307 
MIR3179-1,Arsenic trioxide,0.0308 
MIR3179-2,Arsenic trioxide,0.0308 
CTC-273B12.8,5-aza-2'-deoxycytidine ,0.0309 
RP11-480D4.3,5-aza-2'-deoxycytidine ,0.0309 
CTB-25J19.9,hydroxycamptothecin (HCPT),0.0312 
RP11-231E4.4,paclitaxel,0.0312 
RP11-303E16.2,paclitaxel,0.0312 
RP11-553L6.5,diesel exhaust particles,0.0312 
RP11-98I9.4,paclitaxel,0.0312 
AC121336.2,5-aza-2'-deoxycytidine ,0.0313 
RP11-715F3.2,5-aza-2'-deoxycytidine ,0.0313 
RP11-618G20.1,gefitinib,0.0313 
RP11-96D1.10,Ethanol,0.0313 
MAGI2-AS3,tobacco,0.0314 
RP11-492E3.1,Retinoic Acid,0.0314 
RP11-923I11.1,adriamycin,0.0314 
FGD5-AS1,Glucocorticoids (GCs),0.0317 
FGD5-AS1,HCV,0.0317 
FGD5-AS1,pyruvate kinase type M2 (PKM2),0.0317 
FGD5-AS1,thyrotropin,0.0317 
CROCCP2,5-fluorouracil-based antimetabolite S-1,0.0317 
CROCCP2,Doxifluridine,0.0317 
CROCCP2,Oxaliplatin,0.0317 
CTC-444N24.8,nutlin-3a,0.0317 
CTD-3138B18.5,cetuximab (Caco-2 and HCT-116),0.0317 
LINC00313,cytomegalovirus,0.0317 
LINC00313,hepatitis B virus (HBV),0.0317 
LINC00313,Oltipraz,0.0317 
RP11-552M11.4,nutlin-3a,0.0317 
TTN-AS1,nicotine,0.0317 
XXbac-BPG32J3.20,medroxyprogesterone acetate (MPA),0.0317 
XXbac-BPG32J3.20,nicotine,0.0317 
XXbac-BPG32J3.20,vincristine,0.0317 
LINC00852,docetaxel,0.0317 
LINC00852,Imatinib,0.0317 
PTCHD3P1,cocaine,0.0317 
PTCHD3P1,sulindac sulfide,0.0317 
TINCR,docetaxel,0.0317 
TINCR,Imatinib,0.0317 
TP73-AS1,cocaine,0.0317 
NEFL,4-HPR and EGCG,0.0318 
NEFL,Ethanol,0.0318 
NEFL,gefitinib,0.0318 
RP11-473I1.10,paclitaxel-carboplatin,0.0318 
CTB-89H12.4,docetaxel,0.0318 
HOTAIR,hypoxia,0.0318 
RP11-923I11.1,hypoxia,0.0318 
RP11-467L20.9,Polyunsaturated fatty acids (PUFAs),0.0318 
RP11-197N18.2,letrozole,0.0318 
RP11-973H7.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0318 
RP11-973H7.2,CagA,0.0318 
RP11-973H7.2,Polycyclic aromatic hydrocarbons,0.0318 
CTD-3138B18.5,adriamycin,0.0318 
RP11-552M11.4,adriamycin,0.0318 
XXbac-BPG32J3.20,Retinoic Acid,0.0318 
MALAT1,Imatinib,0.0318 
AP000265.1,4-HPR and EGCG,0.0318 
AP000265.1,Benzo(a)pyrene (BaP),0.0318 
CTD-2377D24.6,4-HPR and EGCG,0.0318 
CTD-2377D24.6,Benzo(a)pyrene (BaP),0.0318 
CTD-3064H18.1,gefitinib,0.0318 
CTD-3099C6.9,gefitinib,0.0318 
DLEU2,the combination carboplatin/cisplatin with paclitaxel,0.0318 
GS1-259H13.2,gefitinib,0.0318 
LINC00087,4-HPR and EGCG,0.0318 
LINC00087,Benzo(a)pyrene (BaP),0.0318 
LINC00152,gefitinib,0.0318 
RP11-175K6.1,4-HPR and EGCG,0.0318 
RP11-175K6.1,Benzo(a)pyrene (BaP),0.0318 
RP11-298I3.1,iron- and aluminum-sulfate,0.0318 
RP11-298I3.1,the combination carboplatin/cisplatin with paclitaxel,0.0318 
RP11-420G6.4,4-HPR and EGCG,0.0318 
RP11-657O9.1,4-HPR and EGCG,0.0318 
RP11-657O9.1,Benzo(a)pyrene (BaP),0.0318 
RP5-935K16.1,the combination carboplatin/cisplatin with paclitaxel,0.0318 
AC000120.7,Arsenic,0.0318 
AC000120.7,temozolomide,0.0318 
LINC00511,ionising radiation,0.0318 
RP11-372K14.2,curcumin,0.0318 
RP11-390P2.4,ionising radiation,0.0318 
RP11-464F9.1,ionising radiation,0.0318 
SCGB1B2P,ionising radiation,0.0318 
AC021016.6,exercise,0.0319 
CTD-3185P2.2,exercise,0.0319 
LINC00482,exercise,0.0319 
RP11-132A1.3,exercise,0.0319 
RP11-173C20.2,exercise,0.0319 
RP11-425I13.3,exercise,0.0319 
RP11-170L3.8,radiation,0.0322 
AC079117.1,hypoxia,0.0326 
AP001065.15,hypoxia,0.0326 
RP11-452F19.3,hypoxia,0.0326 
RP11-66B24.4,hypoxia,0.0326 
RP11-869B15.1,hypoxia,0.0326 
SNHG12,5-aza-2'-deoxycytidine ,0.0327 
XXbac-B461K10.4,ionizing radiation,0.0327 
XXbac-B461K10.4,Polyunsaturated fatty acids (PUFAs),0.0328 
GS1-259H13.2,Estradiol (E2),0.0328 
HNRNPU-AS1,Tamoxifen,0.0331 
NUTM2A-AS1,UV irradiation,0.0332 
AC005154.6,Ara-C,0.0333 
AC005154.6,"Arsenic trioxide (As(2)O(3), ATO)",0.0333 
AC005154.6,Chronic oxidative stress,0.0333 
AC005154.6,cisplatin (CDDP),0.0333 
AC005154.6,daunorubicin,0.0333 
AC005154.6,Mycobacterium leprae,0.0333 
AC005154.6,Necitumumab,0.0333 
AC005154.6,Polycyclic aromatic hydrocarbons,0.0333 
AC005154.6,thapsigargin-induced intracellular Ca(),0.0333 
AC005154.6,vincristine (VCR),0.0333 
AC005154.6,Vitamin E,0.0333 
LA16c-306E5.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0333 
LA16c-306E5.2,Cyclic mechanical stress (CMS),0.0333 
LA16c-306E5.2,gamma-irradiation and genotoxic drugs,0.0333 
LA16c-306E5.2,methotrexate (MTX),0.0333 
LA16c-306E5.2,Polycyclic aromatic hydrocarbons,0.0333 
RP11-379K17.11,"Arsenic trioxide (As(2)O(3), ATO)",0.0333 
RP11-379K17.11,CagA,0.0333 
RP11-379K17.11,Polycyclic aromatic hydrocarbons,0.0333 
OIP5-AS1,Imatinib,0.0337 
AF011889.4,5-aza-2'-deoxycytidine ,0.0338 
KIAA1984-AS1,5-aza-2'-deoxycytidine ,0.0338 
AC003104.1,cigarette smoke (CS),0.0338 
AC003104.1,UV irradiation,0.0338 
CTA-445C9.14,doxorubicin (Dox),0.0338 
CTC-273B12.8,vincristine and daunorubicin,0.0338 
CTD-2528L19.6,doxorubicin (Dox),0.0338 
ENTPD1-AS1,doxorubicin (Dox),0.0338 
RP11-21N3.1,cigarette smoke (CS),0.0338 
RP11-21N3.1,UV irradiation,0.0338 
RP11-330L19.4,doxorubicin (Dox),0.0338 
RP11-384K6.6,cigarette smoke (CS),0.0338 
RP11-384K6.6,UV irradiation,0.0338 
RP11-384O8.1,doxorubicin (Dox),0.0338 
RP11-710F7.3,doxorubicin (Dox),0.0338 
SDCBP2-AS1,vincristine and daunorubicin,0.0338 
RP11-282O18.6,H2O2,0.0339 
GAS5,progestin,0.0340 
GAS5,resistance exercise,0.0340 
FAM201A,ionizing radiation,0.0340 
CTB-89H12.4,curcumin,0.0340 
RP11-218M22.1,hypoxia,0.0340 
RP11-383C5.4,hypoxia,0.0340 
CCAT1,Imatinib,0.0340 
CDKN2B-AS1,Imatinib,0.0340 
RP11-478C19.2,exercise,0.0340 
AC092535.3,capecitabine,0.0340 
AC092535.3,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0340 
C14orf169,nicotine,0.0340 
ERVK3-1,nutlin-3a,0.0340 
RP11-1103G16.1,cetuximab (Caco-2 and HCT-116),0.0340 
RP11-1103G16.1,nicotine,0.0340 
RP11-282O18.6,cetuximab (Caco-2 and HCT-116),0.0340 
RP11-54O7.1,nicotine,0.0340 
RP11-54O7.1,nutlin-3a,0.0340 
RP5-1172N10.3,medroxyprogesterone acetate (MPA),0.0340 
RP5-1172N10.3,nicotine,0.0340 
AC096772.6,gefitinib,0.0343 
RP11-175O19.4,gefitinib,0.0343 
RP1-5O6.6,Benzo(a)pyrene (BaP),0.0343 
CASP8AP2,adriamycin,0.0344 
CASP8AP2,Etoposide,0.0344 
RP11-1149O23.3,"1, 3, 4-tri-O-galloyl-6-O-caffeoyl-r-D-glucopyranose (BJA32515)",0.0344 
RP11-355O1.11,irradiation,0.0344 
RP11-216F19.2,UV irradiation,0.0345 
CTC-228N24.3,drug,0.0345 
HCG11,heat stress,0.0345 
RP11-690G19.3,drug,0.0345 
LINC00665,metformin,0.0345 
RP11-510M2.10,exercise,0.0345 
AC107072.2,5-fluorouracil (5-FU),0.0345 
AC108142.1,3-nitropropionic acid (3-NPA),0.0345 
AC108142.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0345 
AC108142.1,CagA,0.0345 
AC108142.1,deoxycholic acid,0.0345 
AC108142.1,pacitaxel,0.0345 
AC108142.1,Polycyclic aromatic hydrocarbons,0.0345 
AP000469.2,5-fluorouracil (5-FU),0.0345 
CTB-31O20.2,5-fluorouracil (5-FU),0.0345 
CTD-2622I13.3,radiation,0.0345 
HOXA11-AS,Cyclic mechanical stress (CMS),0.0345 
HOXA11-AS,gamma-irradiation and genotoxic drugs,0.0345 
HOXA11-AS,letrozole,0.0345 
HOXA11-AS,methotrexate (MTX),0.0345 
LINC00667,aminoglycoside,0.0345 
LINC00667,Ara-C,0.0345 
LINC00667,cisplatin (CDDP),0.0345 
LINC00667,daunorubicin,0.0345 
LINC00667,Mycobacterium leprae,0.0345 
LINC00667,phenylbutyric acid (PBA),0.0345 
LINC00667,thapsigargin-induced intracellular Ca(),0.0345 
LINC00667,vincristine (VCR),0.0345 
MAL2,letrozole,0.0345 
MCM3AP-AS1,"Arsenic trioxide (As(2)O(3), ATO)",0.0345 
MCM3AP-AS1,Cyclic mechanical stress (CMS),0.0345 
MCM3AP-AS1,gamma-irradiation and genotoxic drugs,0.0345 
MCM3AP-AS1,methotrexate (MTX),0.0345 
MCM3AP-AS1,Polycyclic aromatic hydrocarbons,0.0345 
RP11-498C9.15,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0345 
RP11-498C9.15,serum starvation and chemotherapeutic drug,0.0345 
RP11-498E2.8,radiation,0.0345 
RP11-529K1.2,radiation,0.0345 
RP11-588K22.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0345 
RP11-588K22.2,Polycyclic aromatic hydrocarbons,0.0345 
RP11-676J12.4,5-fluorouracil (5-FU),0.0345 
RP11-776H12.1,5-fluorouracil (5-FU),0.0345 
RP11-848P1.2,5-fluorouracil (5-FU),0.0345 
RP11-849F2.9,5-fluorouracil (5-FU),0.0345 
RP11-932O9.10,5-fluorouracil (5-FU),0.0345 
RP5-842K24.2,radiation,0.0345 
SLC37A4,"Arsenic trioxide (As(2)O(3), ATO)",0.0345 
SLC37A4,Cyclic mechanical stress (CMS),0.0345 
SLC37A4,gamma-irradiation and genotoxic drugs,0.0345 
SLC37A4,methotrexate (MTX),0.0345 
SLC37A4,Polycyclic aromatic hydrocarbons,0.0345 
TAPT1-AS1,radiation,0.0345 
LINC00662,Retinoic Acid,0.0345 
AC005082.12,resistance exercise,0.0345 
AC005082.12,Trastuzumab,0.0345 
CTD-2339L15.1,17beta-estradiol (E(2)),0.0345 
CTD-2517M14.5,17beta-estradiol (E(2)),0.0345 
CTD-2555O16.2,17beta-estradiol (E(2)),0.0345 
MIAT,17beta-estradiol (E(2)),0.0345 
MLLT4-AS1,17beta-estradiol (E(2)),0.0345 
RP11-1006G14.4,17beta-estradiol (E(2)),0.0345 
RP11-290D2.4,5-FU,0.0345 
RP11-395G23.3,5-aza-2'-deoxycytidine (5-Aza-dC) and trichostatin A (TSA),0.0345 
RP11-395G23.3,glucose,0.0345 
RP11-396C23.2,17beta-estradiol (E(2)),0.0345 
RP11-477D19.2,5-aza-2'-deoxycytidine (5-Aza-dC) and trichostatin A (TSA),0.0345 
RP11-492E3.2,17beta-estradiol (E(2)),0.0345 
RP11-706J10.1,17beta-estradiol (E(2)),0.0345 
RP3-523K23.2,5-FU,0.0345 
USP6NL-IT1,hydroxycamptothecin (HCPT),0.0345 
RP11-216F19.2,Arsenic trioxide,0.0349 
HCG18,glucose,0.0349 
MALAT1,paclitaxel-carboplatin,0.0350 
LINC00511,Epigallocatechin gallate (EGCG),0.0350 
AC079117.1,cisplatin (CIS),0.0351 
AC079117.1,cocaine,0.0351 
CTD-2538C1.2,cisplatin (CIS),0.0351 
CTD-2538C1.2,cocaine,0.0351 
LINC00661,heat stress,0.0351 
MAGI2-AS3,folate,0.0351 
RP11-103J17.2,heat stress,0.0351 
RP11-1186N24.5,Human T-lymphotropic virus type 1 (HTLV-1),0.0351 
RP11-213H15.3,cisplatin (CIS),0.0351 
RP11-213H15.3,cocaine,0.0351 
RP11-38J22.6,folate,0.0351 
RP11-446H18.3,hemin,0.0351 
RP11-66N24.4,heat stress,0.0351 
TM4SF19-AS1,drug,0.0351 
CTC-273B12.8,Polyunsaturated fatty acids (PUFAs),0.0352 
RP11-347I19.3,Polyunsaturated fatty acids (PUFAs),0.0352 
RP11-480D4.3,Polyunsaturated fatty acids (PUFAs),0.0352 
SNHG14,doxorubicin (Dox),0.0352 
CTD-2270L9.5,Epigallocatechin gallate (EGCG),0.0354 
RP11-27I1.2,Epigallocatechin gallate (EGCG),0.0354 
RP11-819C21.1,Epigallocatechin gallate (EGCG),0.0354 
LA16c-306E5.2,irradiation,0.0357 
AC005532.5,5-aza-2'-deoxycytidine ,0.0357 
CTC-338M12.2,5-aza-2'-deoxycytidine ,0.0357 
NOP14-AS1,5-aza-2'-deoxycytidine ,0.0357 
RP11-174G17.2,5-aza-2'-deoxycytidine ,0.0357 
RP11-264L1.3,5-aza-2'-deoxycytidine ,0.0357 
CTBP1-AS1,curcumin,0.0357 
RP11-16E12.2,curcumin,0.0357 
LINC00707,Estradiol (E2),0.0357 
RP11-46C20.1,paclitaxel,0.0358 
MIR4720,irradiation,0.0358 
RP13-507I23.1,irradiation,0.0358 
CTC-444N24.11,hypoxia,0.0359 
AC068610.3,tobacco,0.0359 
AC069278.4,tobacco,0.0359 
AC083843.1,tobacco,0.0359 
AP001469.9,tobacco,0.0359 
LINC00863,tobacco,0.0359 
RP11-24B19.3,tobacco,0.0359 
RP11-311C24.1,Ara-C,0.0359 
RP11-311C24.1,Chronic oxidative stress,0.0359 
RP11-311C24.1,cisplatin (CDDP),0.0359 
RP11-311C24.1,cytarabine,0.0359 
RP11-311C24.1,daunorubicin,0.0359 
RP11-311C24.1,Mycobacterium leprae,0.0359 
RP11-311C24.1,Necitumumab,0.0359 
RP11-311C24.1,thapsigargin-induced intracellular Ca(),0.0359 
RP11-311C24.1,vincristine (VCR),0.0359 
RP11-334J6.4,tobacco,0.0359 
RP11-373L24.1,Ara-C,0.0359 
RP11-373L24.1,CagA,0.0359 
RP11-373L24.1,Chronic oxidative stress,0.0359 
RP11-373L24.1,cisplatin (CDDP),0.0359 
RP11-373L24.1,cytarabine,0.0359 
RP11-373L24.1,daunorubicin,0.0359 
RP11-373L24.1,Mycobacterium leprae,0.0359 
RP11-373L24.1,Necitumumab,0.0359 
RP11-373L24.1,thapsigargin-induced intracellular Ca(),0.0359 
RP11-373L24.1,vincristine (VCR),0.0359 
SNORD62A,tobacco,0.0359 
CTB-92J24.2,hypoxia,0.0360 
ZNRD1-AS1,tobacco,0.0360 
RP11-213H15.3,gemcitabine,0.0361 
DLX6-AS1,cytomegalovirus,0.0362 
DLX6-AS1,hepatitis B virus (HBV),0.0362 
DLX6-AS1,medroxyprogesterone acetate (MPA),0.0362 
DLX6-AS1,nicotine,0.0362 
DLX6-AS1,Oltipraz,0.0362 
FENDRR,nicotine,0.0362 
RP11-140H17.1,cytomegalovirus,0.0362 
RP11-140H17.1,hepatitis B virus (HBV),0.0362 
RP11-140H17.1,Oltipraz,0.0362 
RP11-815I9.4,swine influenza virus (SIV),0.0362 
RP11-38P22.2,Imatinib,0.0362 
SNHG16,cocaine,0.0363 
AC009299.3,cisplatin,0.0363 
AC009299.3,cisplatin ,0.0363 
RP1-265C24.9,cisplatin,0.0363 
RP1-265C24.9,cisplatin ,0.0363 
RP11-282O18.6,adriamycin,0.0363 
RP11-54O7.1,adriamycin,0.0363 
RP11-54O7.1,Retinoic Acid,0.0363 
RP5-1172N10.3,Retinoic Acid,0.0363 
AC005307.3,Arsenic trioxide,0.0364 
AC005307.3,irradiation,0.0364 
RP11-277P12.20,Arsenic trioxide,0.0364 
RP11-457M11.2,irradiation,0.0364 
RP11-498P14.3,irradiation,0.0364 
XXbac-BPG300A18.13,Arsenic trioxide,0.0364 
LINC00263,gemcitabine,0.0364 
AC096772.6,Polyunsaturated fatty acids (PUFAs),0.0364 
ZNF718,Polyunsaturated fatty acids (PUFAs),0.0364 
RP11-77H9.2,"1, 3, 4-tri-O-galloyl-6-O-caffeoyl-r-D-glucopyranose (BJA32515)",0.0364 
AC005154.6,docetaxel,0.0364 
AC005076.5,Arsenic trioxide,0.0364 
AC007246.3,Arsenic trioxide,0.0364 
AC009133.15,Arsenic trioxide,0.0364 
AP001619.2,Arsenic trioxide,0.0364 
DNAJC3-AS1,Arsenic trioxide,0.0364 
GABPB1-AS1,irradiation,0.0364 
NPPA-AS1,Arsenic trioxide,0.0364 
RP11-108P20.1,Arsenic trioxide,0.0364 
RP11-158H5.7,irradiation,0.0364 
RP11-18I14.7,Arsenic trioxide,0.0364 
RP11-325K4.3,irradiation,0.0364 
RP11-618P17.3,irradiation,0.0364 
AC016629.8,cigarette smoke (CS),0.0364 
AC016629.8,UV irradiation,0.0364 
C1RL-AS1,cigarette smoke (CS),0.0364 
C1RL-AS1,UV irradiation,0.0364 
RP11-773D16.1,cigarette smoke (CS),0.0364 
RP11-773D16.1,UV irradiation,0.0364 
AC017048.3,Estradiol (E2),0.0364 
LINC00630,Estradiol (E2),0.0364 
RP11-299M14.2,Estradiol (E2),0.0364 
RP11-511P7.2,Estradiol (E2),0.0364 
AC005076.5,diethylstilbestrol,0.0364 
AC005540.3,"17beta-estradiol (E(2)), medroxyprogesterone acetate, ICI-182780 and RU-486",0.0364 
AC006445.8,ITF2357,0.0364 
AC006445.8,laminar shear stress,0.0364 
AC007246.3,diethylstilbestrol,0.0364 
AC010226.4,aluminum-sulfate- and reactive oxygen species (ROS),0.0364 
AC010226.4,bisphenol A (BPA),0.0364 
AC010226.4,Cadmium,0.0364 
AC010226.4,Herpes simplex virus type-1 (HSV-1),0.0364 
AC010226.4,Human T-cell leukemia virus type 1 (HTLV-1),0.0364 
AC010226.4,interferon,0.0364 
AC010226.4,nicotine and benzo(a)pyrene,0.0364 
AC016683.6,doxorubicin,0.0364 
AC016683.6,swine influenza virus (SIV),0.0364 
AC018766.4,5-fluorouracil,0.0364 
AC018766.4,XMRV,0.0364 
AC025171.1,arabinosylcytosine (Ara-C),0.0364 
AC025171.1,17beta-estradiol (E2),0.0364 
AC025171.1,"3,3'-Diindolylmethane (DIM)",0.0364 
AC025171.1,adjuvant therapy,0.0364 
AC025171.1,Arsenic trioxide (ATO),0.0364 
AC025171.1,bleomycin,0.0364 
AC025171.1,daunorubicin (DNR),0.0364 
AC025171.1,"dexamethasone (Dex), doxorubicin (Dox), or bortezomib",0.0364 
AC025171.1,omega-3 polyunsaturated fatty acid,0.0364 
AC025171.1,TAM,0.0364 
AC025171.1,taxol,0.0364 
AC025171.1,Temozolomide (TMZ),0.0364 
AC025171.1,Ursolic Acid,0.0364 
AC058791.1,proinflammatory stimulus,0.0364 
AC062029.1,all-trans-retinoic acid (ATRA),0.0364 
AC062029.1,Cisplatin-/5-fluorouracil,0.0364 
AC069513.3,doxorubicin,0.0364 
AC069513.3,swine influenza virus (SIV),0.0364 
AC079767.4,ITF2357,0.0364 
AC079767.4,laminar shear stress,0.0364 
AF011889.5,"N',N'-diethylnitrosamine (DEN)",0.0364 
AF127936.7,5-aza-2'-deoxycytidine/trichostatin A,0.0364 
BCDIN3D-AS1,"N',N'-diethylnitrosamine (DEN)",0.0364 
CASC2,"N',N'-diethylnitrosamine (DEN)",0.0364 
CTA-250D10.23,VP-16,0.0364 
DNAJC3-AS1, Cryptosporidium parvum,0.0364 
DNAJC3-AS1,"1,25(OH)(2)D(3) and/or epigenetic drugs (5-Aza, TSA)",0.0364 
DNAJC3-AS1,Betulinic acid,0.0364 
DNAJC3-AS1,"Ethyl 2-((2,3-bis(nitrooxy)propyl)disulfanyl)benzoate (GT-094)",0.0364 
GABPB1-AS1,Benzothiazole,0.0364 
KB-318B8.7,"N',N'-diethylnitrosamine (DEN)",0.0364 
LA16c-306E5.3,vitamin D,0.0364 
LEMD1-AS1,Glucocorticoids,0.0364 
LEMD1-AS1,nitric oxide ,0.0364 
LINC00467,"N',N'-diethylnitrosamine (DEN)",0.0364 
LINC00617,"N',N'-diethylnitrosamine (DEN)",0.0364 
LINC00622,"N',N'-diethylnitrosamine (DEN)",0.0364 
LINC00849,capecitabine,0.0364 
MATN1-AS1,"DDP, 5-fluorouracil (5-FU), paclitaxel, and adriamycin (ADR)",0.0364 
MATN1-AS1,erlotinib,0.0364 
MATN1-AS1,NaCl,0.0364 
PRR7-AS1,risperidone,0.0364 
PSMG3-AS1,(-)-Epigallocatechin-3-gallate (EGCG),0.0364 
RP11-108P20.1,Glucocorticoids,0.0364 
RP11-108P20.1,nitric oxide ,0.0364 
RP11-123K3.4,5-aza-2'-deoxycytidine/trichostatin A,0.0364 
RP11-142I20.1,vitamin D,0.0364 
RP11-184E9.2,Glucocorticoids,0.0364 
RP11-184E9.2,nitric oxide ,0.0364 
RP11-18F14.1,teniposide,0.0364 
RP11-252P19.3,all-trans-retinoic acid (ATRA),0.0364 
RP11-252P19.3,Cisplatin-/5-fluorouracil,0.0364 
RP11-325K4.2,Lead,0.0364 
RP11-363G2.4,ITF2357,0.0364 
RP11-363G2.4,laminar shear stress,0.0364 
RP11-399K21.11,ITF2357,0.0364 
RP11-399K21.11,laminar shear stress,0.0364 
RP11-412D9.4,ITF2357,0.0364 
RP11-412D9.4,laminar shear stress,0.0364 
RP11-429J17.7,"DDP, 5-fluorouracil (5-FU), paclitaxel, and adriamycin (ADR)",0.0364 
RP11-429J17.7,erlotinib,0.0364 
RP11-429J17.7,NaCl,0.0364 
RP11-499P20.2,capecitabine,0.0364 
RP11-571M6.18,doxorubicin,0.0364 
RP11-571M6.18,hepatitis B virus (HBV),0.0364 
RP11-618P17.3,Benzothiazole,0.0364 
RP11-67L3.4,bortezomib,0.0364 
RP11-67L3.4,d-galactosamine- and alcohol,0.0364 
RP11-67L3.4,diet,0.0364 
SNHG8,"17beta-estradiol (E(2)), medroxyprogesterone acetate, ICI-182780 and RU-486",0.0364 
SSPO,vitamin D,0.0364 
THAP9-AS1,5-aza-2'-deoxycytidine (5-Aza-CdR),0.0364 
FENDRR,H2O2,0.0364 
RP11-264B17.3,Arsenic trioxide,0.0364 
RP11-264B17.3,irradiation,0.0364 
AC012146.7,Polyunsaturated fatty acids (PUFAs),0.0364 
